STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
1120,39.4990807,-93.3405685,-0.562,-0.541,
1122.5,39.4990768,-93.3405533,-0.56,-0.546,
1125,39.4990768,-93.340538,-0.567,-0.549,
1127.5,39.499073,-93.340538,-0.566,-0.559,
1130,39.499073,-93.3405228,-0.56,-0.542,
1132.5,39.4990692,-93.3405228,-0.536,-0.512,
1135,39.4990692,-93.3404922,-0.564,-0.542,
1137.5,39.4990654,-93.3404846,-0.532,-0.525,
1140,39.4990616,-93.3404694,-0.545,-0.516,
1142.5,39.4990578,-93.3404617,-0.545,-0.523,
1145,39.499054,-93.3404465,-0.599,-0.587,
1147.5,39.4990463,-93.3404388,-0.661,-0.628,
1150,39.4990578,-93.3404465,-0.651,-0.624,
1152.5,39.4990616,-93.3404236,-0.644,-0.634,
1155,39.4990616,-93.3404083,-0.679,-0.653,
1157.5,39.4990578,-93.3403931,-0.68,-0.655,
1160,39.499054,-93.3403778,-0.686,-0.652,
1162.5,39.4990501,-93.3403854,-0.683,-0.656,
1165,39.4990463,-93.3403397,-0.681,-0.645,heavy brush
1167.5,39.4990501,-93.3403168,-0.639,-0.639,off st 10'
1170,39.4990578,-93.3403091,-0.557,-0.532,
1172.5,39.4990768,-93.3403015,-0.528,-0.511,
1175,39.499073,-93.3402939,-0.642,-0.595,
1177.5,39.4990616,-93.3402786,-0.658,-0.637,
1180,39.499054,-93.340271,-0.65,-0.627,
1182.5,39.4990463,-93.3402405,-0.625,-0.62,
1185,39.4990234,-93.3402023,-0.635,-0.559,end offset
1187.5,39.4990272,-93.3401871,-0.659,-0.61,exposed pipe edge of river
1190,39.4990387,-93.3399963,-0.571,-0.553,skip to pass river off set 40' end exposed pipe
1192.5,39.4990463,-93.3399887,-0.575,-0.581,
1195,39.499054,-93.3399887,-0.565,-0.552,
1197.5,39.4990616,-93.3399811,-0.557,-0.542,
1200,39.4990387,-93.3399506,-0.562,-0.54,inside forest 60' offset
1202.5,39.4990387,-93.3399506,-0.603,-0.58,
1205,39.4990349,-93.3399506,-0.582,-0.57,
1207.5,39.4990463,-93.33992,-0.584,-0.58,
1210,39.4990501,-93.3399124,-0.633,-0.549,
1212.5,39.499054,-93.3398972,-0.562,-0.544,
1215,39.4990616,-93.3398895,-0.579,-0.551,
1217.5,39.4990616,-93.339859,-0.563,-0.547,
1220,39.499054,-93.3398438,-0.56,-0.545,
1222.5,39.4990349,-93.3398209,-0.559,-0.546,
1225,39.4990234,-93.3398132,-0.569,-0.542,
1227.5,39.4990158,-93.339798,-0.583,-0.559,
1230,39.4990082,-93.3397903,-0.597,-0.529,
1232.5,39.4990158,-93.3397827,-0.567,-0.539,
1235,39.4989929,-93.3397675,-0.58,-0.564,
1237.5,39.4989319,-93.3397903,-0.56,-0.544,PM end offset
1240,39.4989243,-93.3397751,-0.57,-0.567,
1242.5,39.4989281,-93.3397751,-0.62,-0.58,
1245,39.4989281,-93.3397675,-0.557,-0.522,
1247.5,39.4989243,-93.3397675,-0.605,-0.555,
1250,39.4989204,-93.3397369,-0.643,-0.578,
1252.5,39.4989281,-93.3397217,-0.547,-0.539,
1255,39.4989281,-93.3396988,-0.543,-0.543,
1257.5,39.4989281,-93.3396835,-0.518,-0.518,
1260,39.4989319,-93.3396683,-0.543,-0.539,
1262.5,39.4989281,-93.3396606,-0.534,-0.524,
1265,39.4989204,-93.3396454,-0.529,-0.509,
1267.5,39.4989204,-93.3396378,-0.586,-0.524,
1270,39.4989204,-93.3396225,-0.549,-0.534,
1272.5,39.4989128,-93.3396149,-0.555,-0.532,
1275,39.4989052,-93.3395844,-0.559,-0.543,
1277.5,39.4989128,-93.3395844,-0.558,-0.533,
1280,39.4989166,-93.3395615,-0.555,-0.535,
1282.5,39.4989128,-93.3395538,-0.697,-0.649,
1285,39.4989128,-93.3395462,-0.536,-0.508,3' 9'
1287.5,39.4989128,-93.3395386,-0.522,-0.511,
1290,39.4989166,-93.3395233,-0.548,-0.524,
1292.5,39.4989014,-93.3394928,-0.555,-0.537,
1295,39.4989052,-93.3394699,-0.509,-0.493,hb offset 10'
1297.5,39.4989014,-93.3394699,-0.531,-0.519,
1300,39.4989052,-93.3394623,-0.54,-0.527,
1302.5,39.4989052,-93.3394546,-0.532,-0.518,
1305,39.4988937,-93.3394318,-0.543,-0.541,
1307.5,39.4989014,-93.3394241,-0.541,-0.544,
1310,39.4989052,-93.3394165,-0.547,-0.544,
1312.5,39.4989128,-93.3394089,-0.534,-0.524,
1315,39.498909,-93.3394012,-0.537,-0.535,
1317.5,39.498909,-93.3393936,-0.588,-0.553,
1320,39.4988976,-93.339386,-0.54,-0.531,end offset
1322.5,39.4988976,-93.3393784,-0.537,-0.53,
1325,39.4988899,-93.3393478,-0.542,-0.525,
1327.5,39.4988899,-93.3393478,-0.539,-0.517,
1330,39.4988861,-93.3393326,-0.54,-0.527,
1332.5,39.4988861,-93.3393173,-0.557,-0.538,
1335,39.4988785,-93.3393097,-0.55,-0.551,
1337.5,39.4988823,-93.3392868,-0.537,-0.551,
1340,39.4988785,-93.3392792,-0.562,-0.528,
1342.5,39.4988747,-93.3392716,-0.554,-0.528,
1345,39.4988747,-93.3392487,-0.586,-0.532,
1347.5,39.4988785,-93.3392334,-0.53,-0.516,
1350,39.4988747,-93.3392334,-0.552,-0.523,
1352.5,39.4988708,-93.3392105,-0.547,-0.518,
1355,39.498867,-93.3392029,-0.547,-0.527,
1357.5,39.4988708,-93.3391876,-0.551,-0.534,
1360,39.4988632,-93.3391724,-0.548,-0.513,
1362.5,39.498867,-93.3391724,-0.534,-0.529,
1365,39.498867,-93.3391647,-0.559,-0.55,
1367.5,39.4988632,-93.3391495,-0.513,-0.494,
1370,39.4988556,-93.3391418,-0.511,-0.499,
1372.5,39.4988518,-93.3391113,-0.545,-0.506,
1375,39.4988441,-93.3390961,-0.5,-0.491,
1377.5,39.4988441,-93.3390884,-0.511,-0.494,
1380,39.4988403,-93.3390808,-0.536,-0.5,
1382.5,39.4988403,-93.3390579,-0.483,-0.475,
1385,39.4988289,-93.3390579,-0.49,-0.485,
1387.5,39.4988251,-93.339035,-0.476,-0.423,
1390,39.4988251,-93.3390122,-0.483,-0.476,
1392.5,39.4988289,-93.3390045,-0.501,-0.484,
1395,39.4988327,-93.3389969,-0.489,-0.475,
1397.5,39.4988327,-93.3389816,-0.488,-0.484,
1400,39.4988251,-93.3389664,-0.524,-0.505,
1402.5,39.4988251,-93.3389435,-0.508,-0.498,
1405,39.4988251,-93.3389282,-0.525,-0.509,
1407.5,39.4988174,-93.338913,-0.512,-0.502,
1410,39.4988213,-93.3388977,-0.507,-0.506,
1412.5,39.4988174,-93.3388824,-0.498,-0.494,
1415,39.4988174,-93.3388748,-0.5,-0.486,
1417.5,39.4988174,-93.3388519,-0.515,-0.495,
1420,39.4988098,-93.3388443,-0.503,-0.486,
1422.5,39.498806,-93.338829,-0.523,-0.495,
1425,39.4988022,-93.3388214,-0.508,-0.478,
1427.5,39.4988022,-93.3388062,-0.474,-0.464,
1430,39.4988098,-93.3387909,-0.491,-0.471,
1432.5,39.498806,-93.3387833,-0.529,-0.414,
1435,39.498806,-93.3387756,-0.473,-0.459,
1437.5,39.498806,-93.3387604,-0.488,-0.479,
1440,39.4988022,-93.3387451,-0.446,-0.435,
1442.5,39.4988022,-93.3387299,-0.465,-0.438,
1445,39.4988022,-93.3387146,-0.454,-0.44,
1447.5,39.4987984,-93.3386993,-0.477,-0.48,
1450,39.4987946,-93.3386841,-0.475,-0.474,
1452.5,39.4987831,-93.3386536,-0.499,-0.47,
1455,39.4987869,-93.3386536,-0.517,-0.478,
1457.5,39.4987869,-93.3386459,-0.502,-0.484,
1460,39.4987793,-93.3386307,-0.481,-0.466,
1462.5,39.4987793,-93.3386154,-0.478,-0.46,
1465,39.4987793,-93.3386078,-0.514,-0.484,
1467.5,39.4987793,-93.3386002,-0.512,-0.504,
1470,39.4987869,-93.3385773,-0.493,-0.459,
1472.5,39.4987869,-93.3385544,-0.507,-0.487,
1475,39.4987793,-93.3385391,-0.452,-0.441,
1477.5,39.4987793,-93.3385315,-0.487,-0.481,
