STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
0,39.4999352,-93.3466873,-0.825,-0.798,TS MP 748.1912 5' 3'
2.5,39.4999275,-93.3466873,-0.836,-0.803,
5,39.499939,-93.3466873,-0.833,-0.808,
7.5,39.4999352,-93.3466797,-0.838,-0.802,
10,39.4999352,-93.3466568,-0.841,-0.814,
12.5,39.4999352,-93.3466492,-0.829,-0.805,
15,39.4999313,-93.3466415,-0.827,-0.797,
17.5,39.4999352,-93.3466339,-0.828,-0.794,
20,39.4999313,-93.3466186,-0.826,-0.805,
22.5,39.4999313,-93.3466186,-0.803,-0.785,heavy brush off set 10'
25,39.4999657,-93.346611,-0.802,-0.78,
27.5,39.4999657,-93.3466034,-0.784,-0.731,
30,39.4999618,-93.3465958,-0.8,-0.775,
32.5,39.4999618,-93.3465805,-0.8,-0.782,
35,39.499958,-93.3465729,-0.793,-0.762,
37.5,39.499958,-93.34655,-0.78,-0.751,
40,39.4999504,-93.3465271,-0.768,-0.741,
42.5,39.4999428,-93.3465195,-0.756,-0.726,
45,39.4999428,-93.3465195,-0.743,-0.719,
47.5,39.499939,-93.3465118,-0.769,-0.719,
50,39.4999313,-93.346489,-0.726,-0.696,
52.5,39.4999352,-93.3464813,-0.655,-0.634,
55,39.499939,-93.3464737,-0.577,-0.542,
57.5,39.4999313,-93.3464508,-0.535,-0.52,
60,39.4999237,-93.3464279,-0.54,-0.52,end offset
62.5,39.4999161,-93.3464203,-0.559,-0.542,
65,39.4999008,-93.346405,-0.438,-0.414,
67.5,39.4999008,-93.346405,-0.37,-0.343,
70,39.4999008,-93.346405,-0.421,-0.409,
72.5,39.4998932,-93.3463974,-0.47,-0.431,
75,39.4998817,-93.3463974,-0.504,-0.465,
77.5,39.4998856,-93.3463821,-0.431,-0.404,
80,39.4998894,-93.3463669,-0.442,-0.393,
82.5,39.4998856,-93.3463287,-0.502,-0.482,
85,39.4998817,-93.3463287,-0.493,-0.485,
87.5,39.4998817,-93.3463211,-0.524,-0.54,
90,39.4998817,-93.3463135,-0.527,-0.506,
92.5,39.4998779,-93.3462906,-0.497,-0.471,
95,39.4998779,-93.346283,-0.525,-0.424,
97.5,39.4998779,-93.3462677,-0.557,-0.526,
100,39.4998741,-93.3462448,-0.538,-0.516,
102.5,39.4998703,-93.3462296,-0.516,-0.501,
105,39.4998741,-93.3462296,-0.597,-0.572,
107.5,39.4998741,-93.3462067,-0.478,-0.457,
110,39.4998741,-93.346199,-0.399,-0.38,
112.5,39.4998703,-93.3461762,-0.364,-0.352,
115,39.4998665,-93.3461609,-0.454,-0.426,
117.5,39.4998589,-93.346138,-0.455,-0.427,
120,39.4998627,-93.3461304,-0.399,-0.354,
122.5,39.499855,-93.3461151,-0.502,-0.501,
125,39.4998589,-93.3461075,-0.569,-0.542,
127.5,39.4998512,-93.3460998,-0.546,-0.523,
130,39.499855,-93.3460998,-0.59,-0.47,
132.5,39.4998512,-93.346077,-0.493,-0.476,
135,39.4998589,-93.3460617,-0.542,-0.523,
137.5,39.4998474,-93.3460464,-0.618,-0.597,
140,39.4998474,-93.3460312,-0.672,-0.649,
142.5,39.4998398,-93.3460159,-0.681,-0.667,
145,39.4998436,-93.3460083,-0.709,-0.682,
147.5,39.499836,-93.345993,-0.747,-0.62,
150,39.4998322,-93.3459778,-0.709,-0.686,
152.5,39.4998322,-93.3459625,-0.732,-0.655,
155,39.4998322,-93.3459549,-0.668,-0.612,
157.5,39.4998322,-93.3459396,-0.623,-0.604,
160,39.4998322,-93.345932,-0.693,-0.669,
162.5,39.4998322,-93.3459168,-0.668,-0.652,
165,39.4998322,-93.3459091,-0.696,-0.647,
167.5,39.4998207,-93.3458939,-0.594,-0.578,
170,39.4998245,-93.3458786,-0.665,-0.639,
172.5,39.4998207,-93.3458633,-0.581,-0.556,
175,39.4998207,-93.3458633,-0.667,-0.633,
177.5,39.4998131,-93.3458328,-0.718,-0.693,4' 6'
180,39.4998093,-93.3458252,-0.725,-0.7,
182.5,39.4998054,-93.3458099,-0.738,-0.711,
185,39.4998093,-93.3457947,-0.753,-0.695,
187.5,39.4998054,-93.3457794,-0.744,-0.732,
190,39.4998054,-93.3457718,-0.656,-0.64,
192.5,39.4998016,-93.3457565,-0.62,-0.589,
195,39.4998016,-93.3457642,-0.573,-0.556,
197.5,39.4998016,-93.3457413,-0.623,-0.599,
200,39.4998054,-93.3457184,-0.569,-0.531,
202.5,39.4998054,-93.3457108,-0.586,-0.522,
205,39.4998054,-93.3456955,-0.569,-0.546,
207.5,39.4997978,-93.3456802,-0.393,-0.375,
210,39.4998016,-93.345665,-0.38,-0.336,
212.5,39.499794,-93.3456497,-0.37,-0.358,
215,39.499794,-93.3456268,-0.446,-0.409,
217.5,39.4997864,-93.3456116,-0.461,-0.441,
220,39.4997864,-93.3456039,-0.454,-0.436,
222.5,39.4997826,-93.3455811,-0.446,-0.43,
225,39.4997826,-93.3455658,-0.442,-0.41,
227.5,39.4997788,-93.3455505,-0.392,-0.383,
230,39.4997749,-93.34552,-0.354,-0.317,
232.5,39.4997635,-93.3454285,-0.379,-0.355,
235,39.4997711,-93.3454361,-0.381,-0.387,
237.5,39.4997673,-93.3454208,-0.43,-0.377,
240,39.4997635,-93.3454132,-0.306,-0.291,
242.5,39.4997635,-93.3454056,-0.316,-0.299,
245,39.4997559,-93.3453903,-0.408,-0.359,
247.5,39.4997559,-93.3453751,-0.35,-0.342,
250,39.499752,-93.3453598,-0.404,-0.394,
252.5,39.499752,-93.3453598,-0.437,-0.413,
255,39.499752,-93.3453445,-0.416,-0.3,
257.5,39.4997482,-93.3453293,-0.413,-0.4,
260,39.4997444,-93.345314,-0.367,-0.364,
262.5,39.4997482,-93.3452988,-0.395,-0.387,
265,39.4997482,-93.3452759,-0.436,-0.422,
267.5,39.4997406,-93.3452606,-0.394,-0.36,
270,39.4997406,-93.3452377,-0.412,-0.38,
272.5,39.4997444,-93.3452377,-0.459,-0.442,
275,39.499733,-93.3452148,-0.478,-0.463,
277.5,39.4997368,-93.3451996,-0.472,-0.448,
280,39.4997292,-93.345192,-0.419,-0.409,
282.5,39.4997292,-93.3451691,-0.464,-0.437,
285,39.4997253,-93.3451538,-0.529,-0.482,
287.5,39.4997215,-93.3451386,-0.511,-0.492,
290,39.4997253,-93.3451233,-0.575,-0.528,
292.5,39.4997253,-93.345108,-0.51,-0.489,
295,39.4997177,-93.3450851,-0.489,-0.314,
297.5,39.4997177,-93.3450851,-0.523,-0.309,
300,39.4997063,-93.3450546,-0.543,-0.527,
302.5,39.4997101,-93.345047,-0.537,-0.523,
305,39.4997063,-93.3450317,-0.537,-0.521,
307.5,39.4997063,-93.3450165,-0.524,-0.506,
310,39.4997024,-93.3449936,-0.506,-0.488,
312.5,39.4996986,-93.3449783,-0.511,-0.479,
315,39.4996948,-93.3449631,-0.458,-0.433,
317.5,39.4996948,-93.3449554,-0.408,-0.404,
320,39.4996948,-93.3449402,-0.403,-0.388,
322.5,39.4996948,-93.3449326,-0.351,-0.34,
325,39.4996872,-93.3449173,-0.346,-0.325,
327.5,39.4996834,-93.3448944,-0.255,-0.242,
330,39.4996681,-93.3448639,-0.248,-0.243,
332.5,39.4996719,-93.3448563,-0.251,-0.245,
335,39.4996719,-93.3448486,-0.303,-0.296,
337.5,39.4996758,-93.3448334,-0.3,-0.29,
340,39.4996719,-93.3448181,-0.335,-0.332,
342.5,39.4996758,-93.3448105,-0.254,-0.247,
345,39.4996681,-93.3447952,-0.294,-0.276,
347.5,39.4996681,-93.34478,-0.269,-0.242,
350,39.4996681,-93.3447571,-0.269,-0.265,
352.5,39.4996605,-93.3447342,-0.347,-0.343,
355,39.4996643,-93.3447189,-0.344,-0.343,
357.5,39.4996681,-93.3447113,-0.32,-0.319,
360,39.4996643,-93.3446732,-0.337,-0.351,
362.5,39.4996643,-93.3446655,-0.347,-0.349,
365,39.4996605,-93.3446503,-0.332,-0.341,
367.5,39.4996529,-93.344635,-0.335,-0.343,
370,39.499649,-93.3446274,-0.35,-0.345,
372.5,39.4996452,-93.3446121,-0.294,-0.283,
375,39.4996414,-93.3445969,-0.287,-0.288,
377.5,39.4996376,-93.3445816,-0.228,-0.233,
380,39.4996338,-93.3445511,-0.248,-0.247,
382.5,39.49963,-93.3445358,-0.246,-0.248,
385,39.49963,-93.3445129,-0.247,-0.262,
387.5,39.4996262,-93.3445053,-0.224,-0.24,
390,39.4996262,-93.3444977,-0.297,-0.249,
392.5,39.4996262,-93.3444824,-0.209,-0.211,
395,39.4996262,-93.3444672,-0.217,-0.22,
397.5,39.4996262,-93.3444519,-0.208,-0.203,
400,39.4996223,-93.344429,-0.205,-0.213,
402.5,39.4996223,-93.3444214,-0.208,-0.221,
405,39.4996185,-93.3443909,-0.231,-0.223,
407.5,39.4996147,-93.3443756,-0.19,-0.194,
410,39.4996109,-93.3443604,-0.221,-0.241,
412.5,39.4996109,-93.3443451,-0.217,-0.211,
415,39.4996071,-93.3443146,-0.201,-0.199,
417.5,39.4996071,-93.344307,-0.212,-0.22,
420,39.4996033,-93.3442993,-0.254,-0.243,
422.5,39.4995995,-93.3442841,-0.174,-0.177,
425,39.4995956,-93.3442764,-0.169,-0.18,
427.5,39.499588,-93.3442535,-0.232,-0.263,
430,39.499588,-93.3442383,-0.199,-0.185,
432.5,39.4995842,-93.3442078,-0.188,-0.188,
435,39.4995842,-93.3442001,-0.151,-0.16,
437.5,39.4995842,-93.3441925,-0.222,-0.195,
440,39.4995804,-93.3441696,-0.241,-0.291,
442.5,39.4995728,-93.3441544,-0.153,-0.162,
445,39.4995766,-93.3441467,-0.192,-0.187,
447.5,39.4995766,-93.3441391,-0.206,-0.202,
450,39.4995766,-93.3441238,-0.224,-0.226,
452.5,39.4995689,-93.3441086,-0.214,-0.214,
455,39.4995651,-93.3441086,-0.218,-0.274,
457.5,39.4995689,-93.3440933,-0.263,-0.232,
460,39.4995689,-93.3440857,-0.282,-0.285,
462.5,39.4995651,-93.3440781,-0.287,-0.282,
465,39.4995651,-93.3440476,-0.276,-0.259,
467.5,39.4995651,-93.3440399,-0.256,-0.26,
470,39.4995651,-93.3440247,-0.278,-0.281,
472.5,39.4995651,-93.344017,-0.31,-0.205,
475,39.4995651,-93.3440094,-0.257,-0.27,
477.5,39.4995613,-93.3439941,-0.252,-0.243,
480,39.4995575,-93.3439789,-0.256,-0.205,
482.5,39.4995575,-93.3439636,-0.276,-0.235,
485,39.4995537,-93.3439484,-0.234,-0.214,
487.5,39.4995537,-93.3439331,-0.228,-0.239,
490,39.4995499,-93.3439178,-0.232,-0.215,
492.5,39.4995499,-93.3439026,-0.22,-0.216,
495,39.4995499,-93.3438873,-0.244,-0.215,
497.5,39.4995499,-93.3438797,-0.27,-0.254,
500,39.499546,-93.3438644,-0.278,-0.264,
502.5,39.4995422,-93.3438492,-0.281,-0.283,
505,39.4995384,-93.3438339,-0.299,-0.265,
507.5,39.4995384,-93.343811,-0.259,-0.24,
510,39.4995384,-93.3437958,-0.298,-0.269,
512.5,39.4995384,-93.3437805,-0.24,-0.228,
515,39.4995308,-93.3437653,-0.23,-0.216,
517.5,39.499527,-93.3437576,-0.273,-0.262,
520,39.499527,-93.3437347,-0.246,-0.241,
522.5,39.4995232,-93.3437118,-0.231,-0.222,
525,39.4995194,-93.3436966,-0.237,-0.232,
527.5,39.4995155,-93.343689,-0.236,-0.229,
530,39.4995117,-93.3436737,-0.211,-0.21,
532.5,39.4995079,-93.3436661,-0.256,-0.251,
535,39.4995003,-93.3436508,-0.278,-0.244,
537.5,39.4995041,-93.3436432,-0.268,-0.266,
540,39.4995041,-93.3436203,-0.253,-0.249,
542.5,39.4995003,-93.3436127,-0.24,-0.221,
545,39.4995003,-93.343605,-0.221,-0.22,
547.5,39.4995003,-93.3435898,-0.233,-0.234,
550,39.4994926,-93.3435669,-0.302,-0.259,
